SMILES,name
C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,0
CC12COC(OC1)(OC2)C1=CC=CC=C1,1
CCC(O)(CC(O)=O)C1=CC=CC=C1,2
[H]N(c1nc(SC([H])([H])[H])nc(n1)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],3
[H]OC([H])([H])C1([H])N(C([H])([H])[H])C([H])([H])C([H])(O[H])C([H])(O[H])C1([H])O[H],4
CCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,5
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,6
[H]Oc1c([H])c(c([H])c(c1C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],7
[H]C1([H])OS(=O)(=O)OC([H])([H])C2([H])C1([H])C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,8
CCCCCCCCCCCCOC1=CC=C(O1)C(O)=O,9
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,10
O=CC1=CC=C(CCCCCCCCCCCCC2=CC(C=O)=CS2)S1,11
COC1=CC=CC=C1OC,12
BrC1=C(C=CC=C1)C(=O)C1=CC=CC=C1,13
CC1=CC=CC=C1C2=CC=CC=C2C,14
C1COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO1,15
[H]C([H])(F)C(C([H])([H])F)(C([H])([H])F)C([H])([H])F,16
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,17
[H]C([H])([H])N([N+]([O-])=O)C([H])([H])N([N+]([O-])=O)C([H])([H])N([N+]([O-])=O)C([H])([H])[H],18
NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(C=C1)N(=O)=O,19
CC(=C)C(=O)OCCOCCOC1=CC=C(C=C1)N=NC1=CC=C(C=C1)C#N,20
[H]OC(=O)C1=C([H])c2c([H])c([H])c([H])c([H])c2OC1=O,21
CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,22
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,23
CN(C1=CC=CC=C1)C(=O)N(C)C2=CC=CC=C2,24
[H]OC(=O)c1c([H])c([H])c(C#N)c([H])c1[H],25
COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,26
CCCCOC1=CC=C(C=NC2=CC3=C(OCCOCCOCCOCCO3)C=C2)C=C1,27
CCCCCCOC1=CC=C(OC(=O)C2=CC=C(O2)C(=O)OC2=CC=C(OCCCCCC)C=C2)C=C1,28
[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],29
CCCCOC1=CC=C(OC(=O)[C@H]2CC[C@H](CCCC)CC2)C=C1,30
CCCCOC1=CC=C(OC(=O)C2CCC(CCCC)CC2)C=C1,31
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,32
