Name,Predicted dHm / kJ mol-1,dGc / kJ mol-1,dGc error ±,CAS,SMILES
BTA3,64.6421,-14.54447,1.11738,2226142-58-9,CCCCCCCCN1N=C2C(C(S3)=CC4=C3C5=CC(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC(C%10=CC=C(/C=C(S/C(N%11CC)=C(C#N)\C#N)/C%11=O)C%12=NN(CCCCCCCC)N=C%10%12)=C8)=C9C=C5C4(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)=CC=C(/C=C(S/C(N%15CC)=C(C#N)\C#N)/C%15=O)C2=N1
DTY6,62.75745,-14.12043,1.11738,unkown,O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)/C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
BTO-4Cl-22,62.44909,-14.05105,1.11738,unkown,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCCCC)CCCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCCCC)CCCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
BTP-4Cl-16,61.91199,-13.9302,1.11738,unkown,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCC)CCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCC)CCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
BTP-4Cl-20,61.73369,-13.89008,1.11738,unkown,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCC)CCCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCC)CCCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
FCC-Br,61.24593,-13.78033,1.11738,unkown,CCCCCCCCC1(CCCCCCCC)C2=C(SC(/C=C(\C(C3=C4SC(Br)=C3)=C(C#N)\C#N)C4=O)=C2)C(C1=C5)=CC6=C5C(CCCCCCCC)(CCCCCCCC)C7=C6C=C8C(C(CCCCCCCC)(CCCCCCCC)C9=C8SC(C=C(/C(C%10=C%11SC(Br)=C%10)=C(C#N)/C#N)C%11=O)=C9)=C7
TPT10-C8C12,60.19646,-13.5442,1.11738,unkown,O=C(C1=CC=C(Br)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCCCC)CCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Br)C=C%11)=C%11C%10=O)=C(C#N)/C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
BTP-4Cl-12,57.42848,-12.92141,1.11738,2447642-41-1,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CCCCCCCC)=C(S4)C6=C5C(N(CC(CCCC)CCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
FCC-F,56.08429,-12.61896,1.11738,unkown,CCCCCCCCC1(CCCCCCCC)C2=C(SC(/C=C(\C(C3=C4SC(F)=C3)=C(C#N)\C#N)C4=O)=C2)C(C1=C5)=CC6=C5C(CCCCCCCC)(CCCCCCCC)C7=C6C=C8C(C(CCCCCCCC)(CCCCCCCC)C9=C8SC(C=C(/C(C%10=C%11SC(F)=C%10)=C(C#N)/C#N)C%11=O)=C9)=C7
IEICO-4F,55.26506,-12.43464,1.11738,2089044-02-8,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C4=CC(C(SC(C(SC(/C=C(C5=O)/C(C6=CC(F)=C(F)C=C56)=C(C#N)\C#N)=C7)=C7OCC(CC)CCCC)=C8)=C8C9(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)=C9C=C4C%12=C2C=C(C(SC(/C=C(C%13=O)\C(C%14=CC(F)=C(F)C=C%13%14)=C(C#N)\C#N)=C%15)=C%15OCC(CC)CCCC)S%12)C=C1
